id,medicineId,pharmacyId,avgDailySales,avgWeeklySales,avgMonthlySales,medianDailySales,peakMonth,lowMonth,peakDayOfWeek,dataPoints,firstSaleDate,lastSaleDate,daysSinceLastSale,lastCalculated
pattern_med_4_pharm_3,med_4,pharm_3,6.16,2363.16,10371.67,5.0,11,7,0,60579,2022-01-01,2024-12-31,329,2025-11-26 13:03:41
pattern_med_4_pharm_4,med_4,pharm_4,6.16,2363.16,10371.67,5.0,11,7,0,60579,2022-01-01,2024-12-31,329,2025-11-26 13:03:41
pattern_med_4_pharm_5,med_4,pharm_5,6.16,2363.16,10371.67,5.0,11,7,0,60579,2022-01-01,2024-12-31,329,2025-11-26 13:03:42
pattern_med_5_pharm_1,med_5,pharm_1,6.06,2321.87,10190.42,5.0,12,2,0,60542,2022-01-01,2024-12-31,329,2025-11-26 13:03:42
pattern_med_5_pharm_2,med_5,pharm_2,6.06,2321.87,10190.42,5.0,12,2,0,60542,2022-01-01,2024-12-31,329,2025-11-26 13:03:42
pattern_med_5_pharm_3,med_5,pharm_3,6.06,2321.87,10190.42,5.0,12,2,0,60542,2022-01-01,2024-12-31,329,2025-11-26 13:03:43
pattern_med_5_pharm_4,med_5,pharm_4,6.06,2321.87,10190.42,5.0,12,2,0,60542,2022-01-01,2024-12-31,329,2025-11-26 13:03:43
pattern_med_5_pharm_5,med_5,pharm_5,6.06,2321.87,10190.42,5.0,12,2,0,60542,2022-01-01,2024-12-31,329,2025-11-26 13:03:43
pattern_med_6_pharm_1,med_6,pharm_1,6.1,2344.22,10288.53,5.0,12,1,0,60680,2022-01-01,2024-12-31,329,2025-11-26 13:03:44
pattern_med_6_pharm_2,med_6,pharm_2,6.1,2344.22,10288.53,5.0,12,1,0,60680,2022-01-01,2024-12-31,329,2025-11-26 13:03:44
pattern_med_6_pharm_3,med_6,pharm_3,6.1,2344.22,10288.53,5.0,12,1,0,60680,2022-01-01,2024-12-31,329,2025-11-26 13:03:44
pattern_med_6_pharm_4,med_6,pharm_4,6.1,2344.22,10288.53,5.0,12,1,0,60680,2022-01-01,2024-12-31,329,2025-11-26 13:03:45
pattern_med_6_pharm_5,med_6,pharm_5,6.1,2344.22,10288.53,5.0,12,1,0,60680,2022-01-01,2024-12-31,329,2025-11-26 13:03:45
pattern_med_7_pharm_1,med_7,pharm_1,4.86,223.57,981.22,4.0,9,2,0,7261,2022-01-01,2024-12-31,329,2025-11-26 13:03:45
pattern_med_7_pharm_2,med_7,pharm_2,4.86,223.57,981.22,4.0,9,2,0,7261,2022-01-01,2024-12-31,329,2025-11-26 13:03:45
pattern_med_7_pharm_3,med_7,pharm_3,4.86,223.57,981.22,4.0,9,2,0,7261,2022-01-01,2024-12-31,329,2025-11-26 13:03:46
pattern_med_7_pharm_4,med_7,pharm_4,4.86,223.57,981.22,4.0,9,2,0,7261,2022-01-01,2024-12-31,329,2025-11-26 13:03:46
pattern_med_7_pharm_5,med_7,pharm_5,4.86,223.57,981.22,4.0,9,2,0,7261,2022-01-01,2024-12-31,329,2025-11-26 13:03:46
pattern_med_8_pharm_1,med_8,pharm_1,5.57,236.82,1039.39,5.0,11,8,0,6723,2022-01-01,2024-12-31,329,2025-11-26 13:03:46
pattern_med_8_pharm_2,med_8,pharm_2,5.57,236.82,1039.39,5.0,11,8,0,6723,2022-01-01,2024-12-31,329,2025-11-26 13:03:47
pattern_med_8_pharm_3,med_8,pharm_3,5.57,236.82,1039.39,5.0,11,8,0,6723,2022-01-01,2024-12-31,329,2025-11-26 13:03:47
pattern_med_8_pharm_4,med_8,pharm_4,5.57,236.82,1039.39,5.0,11,8,0,6723,2022-01-01,2024-12-31,329,2025-11-26 13:03:47
pattern_med_8_pharm_5,med_8,pharm_5,5.57,236.82,1039.39,5.0,11,8,0,6723,2022-01-01,2024-12-31,329,2025-11-26 13:03:48
pattern_med_9_pharm_1,med_9,pharm_1,5.79,242.2,1063.0,5.0,11,1,0,6610,2022-01-01,2024-12-31,329,2025-11-26 13:03:48
pattern_med_9_pharm_2,med_9,pharm_2,5.79,242.2,1063.0,5.0,11,1,0,6610,2022-01-01,2024-12-31,329,2025-11-26 13:03:48
pattern_med_9_pharm_3,med_9,pharm_3,5.79,242.2,1063.0,5.0,11,1,0,6610,2022-01-01,2024-12-31,329,2025-11-26 13:03:48
pattern_med_9_pharm_4,med_9,pharm_4,5.79,242.2,1063.0,5.0,11,1,0,6610,2022-01-01,2024-12-31,329,2025-11-26 13:03:49
pattern_med_9_pharm_5,med_9,pharm_5,5.79,242.2,1063.0,5.0,11,1,0,6610,2022-01-01,2024-12-31,329,2025-11-26 13:03:49
pattern_med_10_pharm_1,med_10,pharm_1,6.39,276.61,1214.03,6.0,4,1,0,6841,2022-01-01,2024-12-31,329,2025-11-26 13:03:49
pattern_med_10_pharm_2,med_10,pharm_2,6.39,276.61,1214.03,6.0,4,1,0,6841,2022-01-01,2024-12-31,329,2025-11-26 13:03:50
pattern_med_10_pharm_3,med_10,pharm_3,6.39,276.61,1214.03,6.0,4,1,0,6841,2022-01-01,2024-12-31,329,2025-11-26 13:03:50
pattern_med_10_pharm_4,med_10,pharm_4,6.39,276.61,1214.03,6.0,4,1,0,6841,2022-01-01,2024-12-31,329,2025-11-26 13:03:51
pattern_med_10_pharm_5,med_10,pharm_5,6.39,276.61,1214.03,6.0,4,1,0,6841,2022-01-01,2024-12-31,329,2025-11-26 13:03:51
pattern_med_11_pharm_1,med_11,pharm_1,5.98,246.75,1082.94,5.0,11,4,0,6515,2022-01-01,2024-12-31,329,2025-11-26 13:03:51
pattern_med_11_pharm_2,med_11,pharm_2,5.98,246.75,1082.94,5.0,11,4,0,6515,2022-01-01,2024-12-31,329,2025-11-26 13:03:52
pattern_med_11_pharm_3,med_11,pharm_3,5.98,246.75,1082.94,5.0,11,4,0,6515,2022-01-01,2024-12-31,329,2025-11-26 13:03:52
pattern_med_11_pharm_4,med_11,pharm_4,5.98,246.75,1082.94,5.0,11,4,0,6515,2022-01-01,2024-12-31,329,2025-11-26 13:03:53
pattern_med_11_pharm_5,med_11,pharm_5,5.98,246.75,1082.94,5.0,11,4,0,6515,2022-01-01,2024-12-31,329,2025-11-26 13:03:53
pattern_med_12_pharm_1,med_12,pharm_1,6.8,285.86,1254.61,6.0,9,1,0,6645,2022-01-01,2024-12-31,330,2025-11-26 13:03:53
pattern_med_12_pharm_2,med_12,pharm_2,6.8,285.86,1254.61,6.0,9,1,0,6645,2022-01-01,2024-12-31,330,2025-11-26 13:03:53
pattern_med_12_pharm_3,med_12,pharm_3,6.8,285.86,1254.61,6.0,9,1,0,6645,2022-01-01,2024-12-31,330,2025-11-26 13:03:54
pattern_med_12_pharm_4,med_12,pharm_4,6.8,285.86,1254.61,6.0,9,1,0,6645,2022-01-01,2024-12-31,330,2025-11-26 13:03:54
pattern_med_12_pharm_5,med_12,pharm_5,6.8,285.86,1254.61,6.0,9,1,0,6645,2022-01-01,2024-12-31,330,2025-11-26 13:03:54
pattern_med_13_pharm_1,med_13,pharm_1,5.24,221.63,972.72,5.0,3,1,3,6689,2022-01-02,2024-12-31,329,2025-11-26 13:03:54
pattern_med_13_pharm_2,med_13,pharm_2,5.24,221.63,972.72,5.0,3,1,3,6689,2022-01-02,2024-12-31,329,2025-11-26 13:03:55
pattern_med_13_pharm_3,med_13,pharm_3,5.24,221.63,972.72,5.0,3,1,3,6689,2022-01-02,2024-12-31,329,2025-11-26 13:03:55
pattern_med_13_pharm_4,med_13,pharm_4,5.24,221.63,972.72,5.0,3,1,3,6689,2022-01-02,2024-12-31,329,2025-11-26 13:03:55
pattern_med_13_pharm_5,med_13,pharm_5,5.24,221.63,972.72,5.0,3,1,3,6689,2022-01-02,2024-12-31,329,2025-11-26 13:03:55
pattern_med_14_pharm_1,med_14,pharm_1,5.98,251.06,1101.86,5.0,12,2,0,6633,2022-01-02,2024-12-30,330,2025-11-26 13:03:56
pattern_med_14_pharm_2,med_14,pharm_2,5.98,251.06,1101.86,5.0,12,2,0,6633,2022-01-02,2024-12-30,330,2025-11-26 13:03:56
pattern_med_14_pharm_3,med_14,pharm_3,5.98,251.06,1101.86,5.0,12,2,0,6633,2022-01-02,2024-12-30,330,2025-11-26 13:03:56
pattern_med_14_pharm_4,med_14,pharm_4,5.98,251.06,1101.86,5.0,12,2,0,6633,2022-01-02,2024-12-30,330,2025-11-26 13:03:56
pattern_med_14_pharm_5,med_14,pharm_5,5.98,251.06,1101.86,5.0,12,2,0,6633,2022-01-02,2024-12-30,330,2025-11-26 13:03:57
pattern_med_15_pharm_1,med_15,pharm_1,5.69,237.88,1044.03,5.0,12,2,1,6603,2022-01-01,2024-12-31,329,2025-11-26 13:03:57
pattern_med_15_pharm_2,med_15,pharm_2,5.69,237.88,1044.03,5.0,12,2,1,6603,2022-01-01,2024-12-31,329,2025-11-26 13:03:57
pattern_med_15_pharm_3,med_15,pharm_3,5.69,237.88,1044.03,5.0,12,2,1,6603,2022-01-01,2024-12-31,329,2025-11-26 13:03:58
pattern_med_15_pharm_4,med_15,pharm_4,5.69,237.88,1044.03,5.0,12,2,1,6603,2022-01-01,2024-12-31,329,2025-11-26 13:03:58
pattern_med_15_pharm_5,med_15,pharm_5,5.69,237.88,1044.03,5.0,12,2,1,6603,2022-01-01,2024-12-31,329,2025-11-26 13:03:58
pattern_med_16_pharm_1,med_16,pharm_1,5.17,217.73,955.58,5.0,12,6,4,6654,2022-01-01,2024-12-31,330,2025-11-26 13:03:58
pattern_med_16_pharm_2,med_16,pharm_2,5.17,217.73,955.58,5.0,12,6,4,6654,2022-01-01,2024-12-31,330,2025-11-26 13:03:59
pattern_med_16_pharm_3,med_16,pharm_3,5.17,217.73,955.58,5.0,12,6,4,6654,2022-01-01,2024-12-31,330,2025-11-26 13:03:59
pattern_med_16_pharm_4,med_16,pharm_4,5.17,217.73,955.58,5.0,12,6,4,6654,2022-01-01,2024-12-31,330,2025-11-26 13:03:59
pattern_med_16_pharm_5,med_16,pharm_5,5.17,217.73,955.58,5.0,12,6,4,6654,2022-01-01,2024-12-31,330,2025-11-26 13:03:59
pattern_med_17_pharm_1,med_17,pharm_1,5.13,214.73,942.44,5.0,3,10,4,6613,2022-01-01,2024-12-31,329,2025-11-26 13:04:00
pattern_med_17_pharm_2,med_17,pharm_2,5.13,214.73,942.44,5.0,3,10,4,6613,2022-01-01,2024-12-31,329,2025-11-26 13:04:00
pattern_med_17_pharm_3,med_17,pharm_3,5.13,214.73,942.44,5.0,3,10,4,6613,2022-01-01,2024-12-31,329,2025-11-26 13:04:00
pattern_med_17_pharm_4,med_17,pharm_4,5.13,214.73,942.44,5.0,3,10,4,6613,2022-01-01,2024-12-31,329,2025-11-26 13:04:00
pattern_med_17_pharm_5,med_17,pharm_5,5.13,214.73,942.44,5.0,3,10,4,6613,2022-01-01,2024-12-31,329,2025-11-26 13:04:01
pattern_med_18_pharm_1,med_18,pharm_1,6.05,253.58,1112.92,5.0,1,10,0,6627,2022-01-01,2024-12-31,330,2025-11-26 13:04:01
pattern_med_18_pharm_2,med_18,pharm_2,6.05,253.58,1112.92,5.0,1,10,0,6627,2022-01-01,2024-12-31,330,2025-11-26 13:04:01
pattern_med_18_pharm_3,med_18,pharm_3,6.05,253.58,1112.92,5.0,1,10,0,6627,2022-01-01,2024-12-31,330,2025-11-26 13:04:01
pattern_med_18_pharm_4,med_18,pharm_4,6.05,253.58,1112.92,5.0,1,10,0,6627,2022-01-01,2024-12-31,330,2025-11-26 13:04:02
pattern_med_18_pharm_5,med_18,pharm_5,6.05,253.58,1112.92,5.0,1,10,0,6627,2022-01-01,2024-12-31,330,2025-11-26 13:04:02
pattern_med_19_pharm_1,med_19,pharm_1,5.42,234.22,1027.94,5.0,11,2,0,6828,2022-01-01,2024-12-31,330,2025-11-26 13:04:02
pattern_med_19_pharm_2,med_19,pharm_2,5.42,234.22,1027.94,5.0,11,2,0,6828,2022-01-01,2024-12-31,330,2025-11-26 13:04:02
pattern_med_19_pharm_3,med_19,pharm_3,5.42,234.22,1027.94,5.0,11,2,0,6828,2022-01-01,2024-12-31,330,2025-11-26 13:04:03
pattern_med_19_pharm_4,med_19,pharm_4,5.42,234.22,1027.94,5.0,11,2,0,6828,2022-01-01,2024-12-31,330,2025-11-26 13:04:03
pattern_med_19_pharm_5,med_19,pharm_5,5.42,234.22,1027.94,5.0,11,2,0,6828,2022-01-01,2024-12-31,330,2025-11-26 13:04:03
pattern_med_20_pharm_1,med_20,pharm_1,5.92,242.89,1066.03,5.0,12,11,0,6483,2022-01-01,2024-12-31,329,2025-11-26 13:04:04
pattern_med_20_pharm_2,med_20,pharm_2,5.92,242.89,1066.03,5.0,12,11,0,6483,2022-01-01,2024-12-31,329,2025-11-26 13:04:04
pattern_med_20_pharm_3,med_20,pharm_3,5.92,242.89,1066.03,5.0,12,11,0,6483,2022-01-01,2024-12-31,329,2025-11-26 13:04:05
pattern_med_20_pharm_4,med_20,pharm_4,5.92,242.89,1066.03,5.0,12,11,0,6483,2022-01-01,2024-12-31,329,2025-11-26 13:04:05
pattern_med_20_pharm_5,med_20,pharm_5,5.92,242.89,1066.03,5.0,12,11,0,6483,2022-01-01,2024-12-31,329,2025-11-26 13:04:05
pattern_med_21_pharm_1,med_21,pharm_1,5.7,239.91,1052.92,5.0,10,3,4,6652,2022-01-01,2024-12-31,329,2025-11-26 13:04:06
pattern_med_21_pharm_2,med_21,pharm_2,5.7,239.91,1052.92,5.0,10,3,4,6652,2022-01-01,2024-12-31,329,2025-11-26 13:04:06
pattern_med_21_pharm_3,med_21,pharm_3,5.7,239.91,1052.92,5.0,10,3,4,6652,2022-01-01,2024-12-31,329,2025-11-26 13:04:06
pattern_med_21_pharm_4,med_21,pharm_4,5.7,239.91,1052.92,5.0,10,3,4,6652,2022-01-01,2024-12-31,329,2025-11-26 13:04:07
pattern_med_21_pharm_5,med_21,pharm_5,5.7,239.91,1052.92,5.0,10,3,4,6652,2022-01-01,2024-12-31,329,2025-11-26 13:04:07
pattern_med_22_pharm_1,med_22,pharm_1,5.88,240.13,1053.89,5.0,12,7,0,6448,2022-01-01,2024-12-31,329,2025-11-26 13:04:07
pattern_med_22_pharm_2,med_22,pharm_2,5.88,240.13,1053.89,5.0,12,7,0,6448,2022-01-01,2024-12-31,329,2025-11-26 13:04:08
pattern_med_22_pharm_3,med_22,pharm_3,5.88,240.13,1053.89,5.0,12,7,0,6448,2022-01-01,2024-12-31,329,2025-11-26 13:04:08
pattern_med_22_pharm_4,med_22,pharm_4,5.88,240.13,1053.89,5.0,12,7,0,6448,2022-01-01,2024-12-31,329,2025-11-26 13:04:08
pattern_med_22_pharm_5,med_22,pharm_5,5.88,240.13,1053.89,5.0,12,7,0,6448,2022-01-01,2024-12-31,329,2025-11-26 13:04:08
pattern_med_23_pharm_1,med_23,pharm_1,5.88,253.86,1114.17,5.0,1,4,0,6824,2022-01-02,2024-12-31,329,2025-11-26 13:04:09
pattern_med_23_pharm_2,med_23,pharm_2,5.88,253.86,1114.17,5.0,1,4,0,6824,2022-01-02,2024-12-31,329,2025-11-26 13:04:09
pattern_med_23_pharm_3,med_23,pharm_3,5.88,253.86,1114.17,5.0,1,4,0,6824,2022-01-02,2024-12-31,329,2025-11-26 13:04:09
pattern_med_23_pharm_4,med_23,pharm_4,5.88,253.86,1114.17,5.0,1,4,0,6824,2022-01-02,2024-12-31,329,2025-11-26 13:04:09
pattern_med_23_pharm_5,med_23,pharm_5,5.88,253.86,1114.17,5.0,1,4,0,6824,2022-01-02,2024-12-31,329,2025-11-26 13:04:10
pattern_med_24_pharm_1,med_24,pharm_1,5.34,222.16,975.06,4.0,11,1,4,6572,2022-01-01,2024-12-30,330,2025-11-26 13:04:10
pattern_med_24_pharm_2,med_24,pharm_2,5.34,222.16,975.06,4.0,11,1,4,6572,2022-01-01,2024-12-30,330,2025-11-26 13:04:10
pattern_med_24_pharm_3,med_24,pharm_3,5.34,222.16,975.06,4.0,11,1,4,6572,2022-01-01,2024-12-30,330,2025-11-26 13:04:10
pattern_med_24_pharm_4,med_24,pharm_4,5.34,222.16,975.06,4.0,11,1,4,6572,2022-01-01,2024-12-30,330,2025-11-26 13:04:11
pattern_med_24_pharm_5,med_24,pharm_5,5.34,222.16,975.06,4.0,11,1,4,6572,2022-01-01,2024-12-30,330,2025-11-26 13:04:11
pattern_med_25_pharm_1,med_25,pharm_1,5.57,226.6,994.53,5.0,11,6,0,6433,2022-01-01,2024-12-31,329,2025-11-26 13:04:11
pattern_med_25_pharm_2,med_25,pharm_2,5.57,226.6,994.53,5.0,11,6,0,6433,2022-01-01,2024-12-31,329,2025-11-26 13:04:11
pattern_med_25_pharm_3,med_25,pharm_3,5.57,226.6,994.53,5.0,11,6,0,6433,2022-01-01,2024-12-31,329,2025-11-26 13:04:12
pattern_med_25_pharm_4,med_25,pharm_4,5.57,226.6,994.53,5.0,11,6,0,6433,2022-01-01,2024-12-31,329,2025-11-26 13:04:12
pattern_med_25_pharm_5,med_25,pharm_5,5.57,226.6,994.53,5.0,11,6,0,6433,2022-01-01,2024-12-31,329,2025-11-26 13:04:12
pattern_med_26_pharm_1,med_26,pharm_1,6.11,255.59,1121.78,5.0,12,2,0,6606,2022-01-01,2024-12-31,329,2025-11-26 13:04:12
pattern_med_26_pharm_2,med_26,pharm_2,6.11,255.59,1121.78,5.0,12,2,0,6606,2022-01-01,2024-12-31,329,2025-11-26 13:04:13
pattern_med_26_pharm_3,med_26,pharm_3,6.11,255.59,1121.78,5.0,12,2,0,6606,2022-01-01,2024-12-31,329,2025-11-26 13:04:13
pattern_med_26_pharm_4,med_26,pharm_4,6.11,255.59,1121.78,5.0,12,2,0,6606,2022-01-01,2024-12-31,329,2025-11-26 13:04:13
pattern_med_26_pharm_5,med_26,pharm_5,6.11,255.59,1121.78,5.0,12,2,0,6606,2022-01-01,2024-12-31,329,2025-11-26 13:04:13
pattern_med_27_pharm_1,med_27,pharm_1,5.45,230.96,1013.67,5.0,12,10,0,6692,2022-01-01,2024-12-31,329,2025-11-26 13:04:14
pattern_med_27_pharm_2,med_27,pharm_2,5.45,230.96,1013.67,5.0,12,10,0,6692,2022-01-01,2024-12-31,329,2025-11-26 13:04:14
pattern_med_27_pharm_3,med_27,pharm_3,5.45,230.96,1013.67,5.0,12,10,0,6692,2022-01-01,2024-12-31,329,2025-11-26 13:04:14
pattern_med_27_pharm_4,med_27,pharm_4,5.45,230.96,1013.67,5.0,12,10,0,6692,2022-01-01,2024-12-31,329,2025-11-26 13:04:14
pattern_med_27_pharm_5,med_27,pharm_5,5.45,230.96,1013.67,5.0,12,10,0,6692,2022-01-01,2024-12-31,329,2025-11-26 13:04:15
pattern_med_28_pharm_1,med_28,pharm_1,4.73,210.09,922.08,4.0,10,4,1,7013,2022-01-01,2024-12-31,329,2025-11-26 13:04:15
pattern_med_28_pharm_2,med_28,pharm_2,4.73,210.09,922.08,4.0,10,4,1,7013,2022-01-01,2024-12-31,329,2025-11-26 13:04:15
pattern_med_28_pharm_3,med_28,pharm_3,4.73,210.09,922.08,4.0,10,4,1,7013,2022-01-01,2024-12-31,329,2025-11-26 13:04:15
pattern_med_28_pharm_4,med_28,pharm_4,4.73,210.09,922.08,4.0,10,4,1,7013,2022-01-01,2024-12-31,329,2025-11-26 13:04:16
pattern_med_28_pharm_5,med_28,pharm_5,4.73,210.09,922.08,4.0,10,4,1,7013,2022-01-01,2024-12-31,329,2025-11-26 13:04:16
pattern_med_29_pharm_1,med_29,pharm_1,5.32,215.96,947.81,5.0,1,4,0,6412,2022-01-01,2024-12-31,329,2025-11-26 13:04:16
pattern_med_29_pharm_2,med_29,pharm_2,5.32,215.96,947.81,5.0,1,4,0,6412,2022-01-01,2024-12-31,329,2025-11-26 13:04:16
pattern_med_29_pharm_3,med_29,pharm_3,5.32,215.96,947.81,5.0,1,4,0,6412,2022-01-01,2024-12-31,329,2025-11-26 13:04:17
pattern_med_29_pharm_4,med_29,pharm_4,5.32,215.96,947.81,5.0,1,4,0,6412,2022-01-01,2024-12-31,329,2025-11-26 13:04:17
pattern_med_29_pharm_5,med_29,pharm_5,5.32,215.96,947.81,5.0,1,4,0,6412,2022-01-01,2024-12-31,329,2025-11-26 13:04:17
pattern_med_30_pharm_1,med_30,pharm_1,5.93,243.56,1068.94,5.0,12,3,0,6491,2022-01-02,2024-12-31,330,2025-11-26 13:04:18
pattern_med_30_pharm_2,med_30,pharm_2,5.93,243.56,1068.94,5.0,12,3,0,6491,2022-01-02,2024-12-31,330,2025-11-26 13:04:18
pattern_med_30_pharm_3,med_30,pharm_3,5.93,243.56,1068.94,5.0,12,3,0,6491,2022-01-02,2024-12-31,330,2025-11-26 13:04:19
pattern_med_30_pharm_4,med_30,pharm_4,5.93,243.56,1068.94,5.0,12,3,0,6491,2022-01-02,2024-12-31,330,2025-11-26 13:04:19
pattern_med_30_pharm_5,med_30,pharm_5,5.93,243.56,1068.94,5.0,12,3,0,6491,2022-01-02,2024-12-31,330,2025-11-26 13:04:19
pattern_med_31_pharm_1,med_31,pharm_1,5.47,228.74,1003.92,5.0,10,1,1,6605,2022-01-01,2024-12-31,329,2025-11-26 13:04:20
pattern_med_31_pharm_2,med_31,pharm_2,5.47,228.74,1003.92,5.0,10,1,1,6605,2022-01-01,2024-12-31,329,2025-11-26 13:04:20
pattern_med_31_pharm_3,med_31,pharm_3,5.47,228.74,1003.92,5.0,10,1,1,6605,2022-01-01,2024-12-31,329,2025-11-26 13:04:21
pattern_med_31_pharm_4,med_31,pharm_4,5.47,228.74,1003.92,5.0,10,1,1,6605,2022-01-01,2024-12-31,329,2025-11-26 13:04:21
pattern_med_31_pharm_5,med_31,pharm_5,5.47,228.74,1003.92,5.0,10,1,1,6605,2022-01-01,2024-12-31,329,2025-11-26 13:04:21
pattern_med_32_pharm_1,med_32,pharm_1,5.65,240.53,1055.67,5.0,11,6,4,6721,2022-01-01,2024-12-31,329,2025-11-26 13:04:21
pattern_med_32_pharm_2,med_32,pharm_2,5.65,240.53,1055.67,5.0,11,6,4,6721,2022-01-01,2024-12-31,329,2025-11-26 13:04:22
pattern_med_32_pharm_3,med_32,pharm_3,5.65,240.53,1055.67,5.0,11,6,4,6721,2022-01-01,2024-12-31,329,2025-11-26 13:04:22
pattern_med_32_pharm_4,med_32,pharm_4,5.65,240.53,1055.67,5.0,11,6,4,6721,2022-01-01,2024-12-31,329,2025-11-26 13:04:22
pattern_med_32_pharm_5,med_32,pharm_5,5.65,240.53,1055.67,5.0,11,6,4,6721,2022-01-01,2024-12-31,329,2025-11-26 13:04:22
pattern_med_33_pharm_1,med_33,pharm_1,4.92,194.32,852.86,4.0,11,3,0,6238,2022-01-01,2024-12-31,329,2025-11-26 13:04:23
pattern_med_33_pharm_2,med_33,pharm_2,4.92,194.32,852.86,4.0,11,3,0,6238,2022-01-01,2024-12-31,329,2025-11-26 13:04:23
pattern_med_33_pharm_3,med_33,pharm_3,4.92,194.32,852.86,4.0,11,3,0,6238,2022-01-01,2024-12-31,329,2025-11-26 13:04:23
pattern_med_33_pharm_4,med_33,pharm_4,4.92,194.32,852.86,4.0,11,3,0,6238,2022-01-01,2024-12-31,329,2025-11-26 13:04:23
pattern_med_33_pharm_5,med_33,pharm_5,4.92,194.32,852.86,4.0,11,3,0,6238,2022-01-01,2024-12-31,329,2025-11-26 13:04:24
pattern_med_34_pharm_1,med_34,pharm_1,5.2,219.44,963.11,5.0,9,7,0,6663,2022-01-01,2024-12-31,329,2025-11-26 13:04:24
pattern_med_34_pharm_2,med_34,pharm_2,5.2,219.44,963.11,5.0,9,7,0,6663,2022-01-01,2024-12-31,329,2025-11-26 13:04:24
pattern_med_34_pharm_3,med_34,pharm_3,5.2,219.44,963.11,5.0,9,7,0,6663,2022-01-01,2024-12-31,329,2025-11-26 13:04:24
pattern_med_34_pharm_4,med_34,pharm_4,5.2,219.44,963.11,5.0,9,7,0,6663,2022-01-01,2024-12-31,329,2025-11-26 13:04:25
pattern_med_34_pharm_5,med_34,pharm_5,5.2,219.44,963.11,5.0,9,7,0,6663,2022-01-01,2024-12-31,329,2025-11-26 13:04:25
pattern_med_35_pharm_1,med_35,pharm_1,5.12,204.77,898.72,5.0,12,5,0,6318,2022-01-01,2024-12-31,329,2025-11-26 13:04:25
pattern_med_35_pharm_2,med_35,pharm_2,5.12,204.77,898.72,5.0,12,5,0,6318,2022-01-01,2024-12-31,329,2025-11-26 13:04:26
pattern_med_35_pharm_3,med_35,pharm_3,5.12,204.77,898.72,5.0,12,5,0,6318,2022-01-01,2024-12-31,329,2025-11-26 13:04:26
pattern_med_35_pharm_4,med_35,pharm_4,5.12,204.77,898.72,5.0,12,5,0,6318,2022-01-01,2024-12-31,329,2025-11-26 13:04:26
